time_ns,cycle,freq_step,f_word_hex,freq_hz,wave_out,step_sync
10730,531,1,0x0a3d70a2,1999999,171,0
10750,532,1,0x0a3d70a2,1999999,181,0
10770,533,1,0x0a3d70a2,1999999,188,0
10790,534,1,0x0a3d70a2,1999999,191,0
10810,535,1,0x0a3d70a2,1999999,190,0
10830,536,1,0x0a3d70a2,1999999,185,0
10850,537,1,0x0a3d70a2,1999999,177,0
10870,538,1,0x0a3d70a2,1999999,165,0
10890,539,1,0x0a3d70a2,1999999,151,0
10910,540,1,0x0a3d70a2,1999999,136,0
10930,541,1,0x0a3d70a2,1999999,120,0
10950,542,1,0x0a3d70a2,1999999,104,0
10970,543,1,0x0a3d70a2,1999999,90,0
10990,544,1,0x0a3d70a2,1999999,78,0
11010,545,1,0x0a3d70a2,1999999,70,0
11030,546,1,0x0a3d70a2,1999999,65,0
11050,547,1,0x0a3d70a2,1999999,64,0
11070,548,1,0x0a3d70a2,1999999,67,0
11090,549,1,0x0a3d70a2,1999999,74,0
11110,550,1,0x0a3d70a2,1999999,84,0
11130,551,1,0x0a3d70a2,1999999,97,0
11150,552,1,0x0a3d70a2,1999999,112,0
11170,553,1,0x0a3d70a2,1999999,127,0
11190,554,1,0x0a3d70a2,1999999,143,0
11210,555,1,0x0a3d70a2,1999999,158,0
11230,556,1,0x0a3d70a2,1999999,171,0
11250,557,1,0x0a3d70a2,1999999,181,0
11270,558,1,0x0a3d70a2,1999999,188,0
11290,559,1,0x0a3d70a2,1999999,191,0
11310,560,1,0x0a3d70a2,1999999,190,0
11330,561,1,0x0a3d70a2,1999999,185,0
11350,562,1,0x0a3d70a2,1999999,177,0
11370,563,1,0x0a3d70a2,1999999,165,0
11390,564,1,0x0a3d70a2,1999999,151,0
11410,565,1,0x0a3d70a2,1999999,136,0
11430,566,1,0x0a3d70a2,1999999,120,0
11450,567,1,0x0a3d70a2,1999999,104,0
11470,568,1,0x0a3d70a2,1999999,90,0
11490,569,1,0x0a3d70a2,1999999,78,0
11510,570,1,0x0a3d70a2,1999999,70,0
11530,571,1,0x0a3d70a2,1999999,65,0
11550,572,1,0x0a3d70a2,1999999,64,0
11570,573,1,0x0a3d70a2,1999999,67,0
11590,574,1,0x0a3d70a2,1999999,74,0
11610,575,1,0x0a3d70a2,1999999,84,0
11630,576,1,0x0a3d70a2,1999999,97,0
11650,577,1,0x0a3d70a2,1999999,112,0
11670,578,1,0x0a3d70a2,1999999,127,0
11690,579,1,0x0a3d70a2,1999999,143,0
11710,580,1,0x0a3d70a2,1999999,158,0
11730,581,1,0x0a3d70a2,1999999,171,0
11750,582,1,0x0a3d70a2,1999999,181,0
11770,583,1,0x0a3d70a2,1999999,188,0
11790,584,1,0x0a3d70a2,1999999,191,0
11810,585,1,0x0a3d70a2,1999999,190,0
11830,586,1,0x0a3d70a2,1999999,185,0
11850,587,1,0x0a3d70a2,1999999,177,0
11870,588,1,0x0a3d70a2,1999999,165,0
11890,589,1,0x0a3d70a2,1999999,151,0
11910,590,1,0x0a3d70a2,1999999,136,0
11930,591,1,0x0a3d70a2,1999999,120,0
11950,592,1,0x0a3d70a2,1999999,104,0
11970,593,1,0x0a3d70a2,1999999,90,0
11990,594,1,0x0a3d70a2,1999999,78,0
12010,595,1,0x0a3d70a2,1999999,70,0
12030,596,1,0x0a3d70a2,1999999,65,0
12050,597,1,0x0a3d70a2,1999999,64,0
12070,598,1,0x0a3d70a2,1999999,67,0
12090,599,1,0x0a3d70a2,1999999,74,0
12110,600,1,0x0a3d70a2,1999999,84,0
12130,601,1,0x0a3d70a2,1999999,97,0
12150,602,1,0x0a3d70a2,1999999,112,0
12170,603,1,0x0a3d70a2,1999999,127,0
12190,604,1,0x0a3d70a2,1999999,143,0
12210,605,1,0x0a3d70a2,1999999,158,0
12230,606,1,0x0a3d70a2,1999999,171,0
12250,607,1,0x0a3d70a2,1999999,181,0
12270,608,1,0x0a3d70a2,1999999,188,0
12290,609,1,0x0a3d70a2,1999999,191,0
12310,610,1,0x0a3d70a2,1999999,190,0
12330,611,1,0x0a3d70a2,1999999,185,0
12350,612,1,0x0a3d70a2,1999999,177,0
12370,613,1,0x0a3d70a2,1999999,165,0
12390,614,1,0x0a3d70a2,1999999,151,0
12410,615,1,0x0a3d70a2,1999999,136,0
12430,616,1,0x0a3d70a2,1999999,120,0
12450,617,1,0x0a3d70a2,1999999,104,0
12470,618,1,0x0a3d70a2,1999999,90,0
12490,619,1,0x0a3d70a2,1999999,78,0
12510,620,1,0x0a3d70a2,1999999,70,0
12530,621,1,0x0a3d70a2,1999999,65,0
12550,622,1,0x0a3d70a2,1999999,64,0
12570,623,1,0x0a3d70a2,1999999,67,0
12590,624,1,0x0a3d70a2,1999999,74,0
12610,625,1,0x0a3d70a2,1999999,84,0
12630,626,1,0x0a3d70a2,1999999,97,0
12650,627,1,0x0a3d70a2,1999999,112,0
12670,628,1,0x0a3d70a2,1999999,127,0
12690,629,1,0x0a3d70a2,1999999,143,0
12710,630,1,0x0a3d70a2,1999999,158,0
12730,631,1,0x0a3d70a2,1999999,171,0
